name,brand,sector,category,sub_category,year,price,description,images,url,attributes,detailed_description
Dice SLS 2026,Duotone,Glisse,Kitesurf,Ailes kitesurf,2026,1829.00,"Découvrez le Duotone Dice SLS 2026 : conçu pour les riders avancés, il offre un contrôle intuitif et des performances explosives. Parfait pour le freestyle et les vagues, pour des sessions inoubliables.","[""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6836/c3a8/44c3/2d01/2b49/7cca/original/DICE26_SLS_CC01_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/685e/e9fc/83c2/ca00/c619/d159/original/DICE26_SLS_CC01_-_BOTTOM.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/685e/e9fd/83c2/ca01/0219/d130/original/DICE26_SLS_CC01_-_SIDE_2.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/685e/e9fe/83c2/ca00/ee19/d130/original/DICE26_SLS_CC01_-_PP3.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6836/c3a2/44c3/2d00/d949/7d30/original/DICE26_SLS_CC02_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6836/c3cf/44c3/2d00/d949/7d31/original/DICE26_SLS_CC03_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6836/c3f4/44c3/2d01/0149/7cdf/original/DICE26_SLS_CC04_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6836/c3fc/44c3/2d01/2b49/7ccc/original/DICE26_SLS_CC06_-_PP1.png""]",https://www.duotonesports.com/fr/products/duotone-dice-sls-2026-44260-3012,"{""statut"": ""Nouveauté"", ""taille"": ""6.0m², 11.0m²"", ""condition"": ""Neuf"", ""reference"": ""44260-3012"", ""construction"": ""SLS"", ""discipline"": ""FREESTYLE/WAVE""}","La Duotone Dice SLS 2026 est une aile polyvalente et sportive pour le freestyle et les vagues, conçue pour les riders avancés. Avec ses matériaux innovants et ses caractéristiques de performance supérieures, elle offre un contrôle pur, un pop explosif et une stabilité exceptionnelle dans une grande variété de conditions. ()=>n(r.text)La Duotone Dice SLS est l'aile de freestyle et de vagues la plus sportive et la plus polyvalente, conçue pour les riders expérimentés. Construite avec les matériaux haut de gamme Penta TX et Trinity TX, la Dice SLS offre un contrôle pur et intuitif sur trois lattes, offrant une expérience exaltante, que ce soit pour réaliser des figures techniques ou pour naviguer dans les vagues. Cette aile est conçue pour ceux qui exigent un pop explosif et un slack net dans leurs manœuvres de freestyle. Avec une puissance douce et équilibrée, la Dice SLS offre le type de performance qui inspire la confiance dans n'importe quelle session. La Dice SLS offre des capacités de virage rapides, ce qui en fait une aile solide dans toutes les conditions. L'une des principales améliorations est l'allongement du dépower, qui permet de délivrer la puissance de manière progressive et douce. La forme affinée de l'arc, avec un centre plus ouvert et des oreilles agressivement rentrées, améliore la plage de dépower tout en maintenant un développement progressif de la puissance pour des transitions en douceur. La direction est plus légère grâce à des améliorations au niveau de la tension de l'aile et des attaches aux extrémités. Cela améliore le transfert de la direction, réduisant ainsi la pression dans la barre sans compromettre le feedback, offrant aux riders une expérience plus engageante sur l'eau. Des virages plus rapides et mieux contrôlés sont un autre point fort de la Dice SLS. Avec des positions de lattes ajustées et une structure du spi améliorée, le flottement des oreilles est minimisé, ce qui permet des virages plus serrés, plus rapides et plus précis, atout essentiel pour les loops et les manœuvres engagées. En vague, la Dice SLS offre une maniabilité ludique et réactive. L'amélioration de la réactivité du pilotage et l'équilibre de la puissance générée la rendent plus vive et plus facile à manœuvrer dans des conditions de vagues dynamiques, permettant aux riders de se frayer un chemin dans le surf avec facilité. De plus, la configuration optimisée du bridage et l'amélioration de la répartition de la charge offrent un meilleur contrôle dans les rafales ou les conditions difficiles, garantissant la stabilité face à des vents imprévisibles. Pour couronner le tout, la Dice SLS a été finement réglée pour les performances en freestyle. Une position plus profonde dans la fenêtre de vent, combinée à un shape raffiné, offre un pop explosif et un slack propre, facilitant l'exécution de tricks techniques hookés ou déhookés en toute confiance. Relevez le défi avec la Duotone Dice SLS 2026, la combinaison parfaite entre performance, polyvalence"
Evo 2026,Duotone,Glisse,Kitesurf,Ailes kitesurf,2026,1479.00,"Découvrez le Duotone Evo 2026, le kite allround ultime. Puissance fluide, sauts faciles et pilotage précis assurent contrôle et stabilité.","[""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/18d0/ef90/1803/5961/a8ef/original/EVO26_Original_CC16_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/18b3/ef90/1857/0e17/ccb4/original/EVO26_Original_CC16_-_SIDE_2.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/18b4/ef90/1800/ffce/2554/original/EVO26_Original_CC16_-_PP3.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/18b6/ef90/1861/6617/ccb3/original/EVO26_Original_CC16_-_BOTTOM.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/18cf/ef90/1803/7461/a8ef/original/EVO26_Original_CC17_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/698e/f801/d983/9c01/0faf/293d/original/Website-DTK-Evo-Drone-Cruising-2026-TobyBromwich--4.jpg"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/698e/f7f3/d983/9c00/c3af/2941/original/Website-DTK-Evo-RenoRomeu-2026-TobyBromwich-2299.jpg"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/698e/f801/d983/9c00/dcaf/293d/original/Website-DTK-Gonzales-Clickbar-RenoRomeu-2026-TobyBromwich-5572.jpg""]",https://www.duotonesports.com/fr/products/duotone-evo-2026-44260-3003,"{""statut"": ""Nouveauté"", ""taille"": ""5.0m², 6.0m², 7.0m², 8.0m², 9.0m², 10.0m², 11.0m², 12.0m², 13.0m²"", ""condition"": ""Neuf"", ""reference"": ""44260-3003"", ""discipline"": ""FREERIDE / FREESTYLE / WAVE""}","Depuis des années, l'Evo originale de Duotone est connue pour être une aile polyvalente conçue pour exceller dans toutes les conditions, ce qui en fait le choix idéal pour les riders de tous niveaux. Cette aile offre des performances polyvalentes pour différents styles de ride, vous permettant de profiter de chaque session, que vous soyez débutant ou rider expérimenté. ()=>n(r.text)Depuis des années, l'Evo Original de Duotone est réputée pour être un modèle polyvalent conçu pour exceller dans toutes les conditions, ce qui en fait le choix idéal pour les riders de tous niveaux. Ce kite offre des performances polyvalentes pour différents styles de ride, vous permettant de profiter pleinement de chaque session, que vous soyez débutant ou rider expérimenté. Grâce à son maniement intuitif et ses différents réglages, l'Evo Original vous permet de progresser rapidement et en toute confiance sur l'eau. Cette aile est conçue pour des sauts sans effort, vous permettant de progresser rapidement à mesure que vous maîtrisez de nouvelles figures et techniques. L'Evo Original offre une puissance fluide et un contrôle total, vous permettant de vous concentrer sur vos performances et de profiter pleinement des sensations du ride. La clé de ses performances exceptionnelles réside dans sa conception améliorée qui assure une direction plus fluide sans flottement des extrémités. Son aérodynamisme épuré offre une sensation de solidité accrue, ce qui se traduit par des virages plus fluides et une réponse plus rapide dans le pilotage. De plus, la nouvelle couture intersegmentaire augmente la rigidité structurelle entre les panneaux, permettant une maniabilité plus directe et un retour d'information plus précis de la barre. Cela se traduit par des réactions plus rapides et un transfert de puissance efficace sans charge supplémentaire. Malgré sa réactivité accrue, l'Evo Original conserve une sensation de glisse équilibrée et confortable. Le développement de la puissance reste fluide et constant, ce qui la rend accessible et agréable dans un large éventail de conditions. Une stabilité et un contrôle améliorés dans les rafales sont également des caractéristiques clés, car la réduction des vibrations et la connexion plus rigide du cadre permettent au kite de gérer les rafales de vent de manière prévisible, offrant un contrôle fiable et une sensation de stabilité dans toute la plage de vent. Découvrez la liberté et la polyvalence de l'Evo, le kite qui s'adapte à votre style et améliore vos performances. Redéfinissez votre expérience du kitesurf avec l'Evo, quand performance rime avec fiabilité ! Lire plus Depuis des années, l'Evo originale de Duotone est connue pour être une aile polyvalente conçue pour exceller dans toutes les conditions, ce qui en fait le choix idéal pour les riders de tous niveaux. Cette aile offre des performances polyvalentes pour différents styles de ride, vous permettant de profiter de chaque session, que vous soyez débutant ou rider expérimenté."
Evo D/LAB 2026,Duotone,Glisse,Kitesurf,Ailes kitesurf,2026,2549.00,Découvrez l'Evo D/LAB 2026 de Duotone Kiteboarding : Technologie Aluula de pointe pour des performances inégalées. Choix des champions pour tricks extrêmes.,"[""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3ba1/83c2/ca01/1702/cef5/original/EVO_DLAB_CC14_2026_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3b9d/83c2/ca01/2b02/cef5/original/EVO_DLAB_CC14_2026_-_P3.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3b95/83c2/ca00/d802/cef7/original/EVO_DLAB_CC14_2026_-_FRONT.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3b97/83c2/ca00/ef02/cef5/original/EVO_DLAB_CC14_2026_-_SIDE_1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3b9a/83c2/ca01/0302/cef5/original/EVO_DLAB_CC14_2026_-_SIDE_2.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3bc9/83c2/ca00/d802/cef8/original/EVO_DLAB_CC14_2026_-_TOP.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3b9b/83c2/ca00/c402/cfec/original/EVO_DLAB_CC14_2026_-_BOTTOM.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/6865/3bd5/83c2/ca00/c402/cfed/original/EVO_DLAB_CC15_2026_-_PP1.png""]",https://www.duotonesports.com/fr/products/duotone-evo-d-lab-2026-44260-3023,"{""statut"": ""Nouveauté"", ""taille"": ""6.0m², 7.0m², 8.0m², 9.0m², 10.0m², 11.0m², 12.0m², 13.0m²"", ""condition"": ""Neuf"", ""reference"": ""44260-3023"", ""construction"": ""D/LAB"", ""discipline"": ""FREERIDE / FREESTYLE / WAVE""}","La Duotone Evo D/LAB est l'ultime aile de haute performance conçue pour les riders avancés et sportifs. Utilisant des matériaux de premier ordre et une technologie sophistiquée, elle offre une puissance, un contrôle et une efficacité inégalés dans toutes les conditions()=>n(r.text)Voici la Duotone Evo D/LAB, l'aile multi-talent ludique et performante pour les riders sportifs. Elle a également fait ses preuves au King of the Air avec Andrea Principi et a remporté de nombreuses compétitions de big air. Construite à base d'Aluula Gold et de Trinity TX, l'Evo D/LAB offre une puissance inégalée à bas régime, un contrôle incroyable en page haute et une grande stabilité, ce qui en fait l'aile de choix pour les riders engagés qui cherchent à élever leurs performances.L'Evo D/LAB est une aile conçue pour ceux qui exigent le meilleur. Elle offre un énorme hangtime sans effort qui vous permet d'étendre vos manœuvres aériennes ainsi qu'un boost vertical inégalé qui surpasse tout ce qui se fait dans la gamme Duotone. L'Evo D/LAB vous permet de repousser vos limites et d'explorer le véritable potentiel de votre ride.La clé de ses performances exceptionnelles est l'amélioration de l'efficacité de la remontée au vent et des capacités de depower. Le bord d'attaque plus étroit réduit la résistance à l'air, ce qui permet à l'aile de voler plus en avant dans la fenêtre de vent, pour une meilleure remontée au vent et un depower plus efficace. Cette amélioration vous permet de naviguer en toute confiance dans un large éventail de conditions sans compromettre les performances. Pour un contrôle précis et une meilleure sensation de pilotage, l'Evo D/LAB est équipée d'un nouveau système de bridage à 6 points qui assure une transmission directe et en douceur de la puissance. Le bridage plus long améliore le contrôle même à pleine puissance, élargissant la plage de vent de l'aile pour une plus grande polyvalence. Un segment supplémentaire aux oreilles contribue à une réponse plus fine et à des sensations de freeride plus ludiques, offrant des capacités de rotation plus rapides et une direction plus directe. Le feeling en barre plus léger et plus précis améliore le contrôle et le jeu, vous assurant un retour instantané de la position de l'aile, ce qui se traduit par une puissance fiable et douce et une maniabilité intuitive. Par vent fort, la combinaison du bord d'attaque plus étroit et du système avancé de bridage à 6 points offre une stabilité et une fiabilité accrues, vous permettant de garder le contrôle tout au long de votre navigation. L'Evo D/LAB se caractérise par des performances optimisées en matière de sauts et de loops. Grâce à la construction optimisée des coutures, au bord d'attaque plus étroit et à la géométrie améliorée des oreilles, cette aile permet des sauts explosifs et des loops précis, ce qui vous donne la confiance nécessaire pour exécuter les manœuvres les plus ambitieuses.La Duotone Evo D/LAB est le summum de la performance en kitesurf. C'est l'aile"
Juice 2026,Duotone,Glisse,Kitesurf,Ailes kitesurf,2026,2399.00,"Naviguez par vent léger avec le Duotone Juice 2026. Puissance fluide, redécollage facile et excellente remontée au vent prolongent chaque session.","[""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/16c9/ef90/184f/4817/ccb2/original/JUICE26_CC18_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/16ac/ef90/1835/aca8/fe10/original/JUICE26_CC18_-_SIDE_2.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/16ae/ef90/1835/eca8/fe10/original/JUICE26_CC18_-_PP3.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/16ae/ef90/1800/c3ce/2554/original/JUICE26_CC18_-_BOTTOM.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/1704/ef90/1800/c3ce/2556/original/JUICE26_CC21_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/68c9/16d6/ef90/1800/ffce/2551/original/JUICE26_CC19_-_PP1.png"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/699c/3cea/4489/512a/17fa/0e26/original/Website-DTK-Juice-Cruising-2026-TobyBromwich-1798.jpg"", ""https://www.duotonesports.com/system/product_picture_gallery_pictures/files/699c/3cf7/4489/5103/3e20/5350/original/Website-DTK-Juice-Gonzales-ClickBar-RenoRomeu-2026-TobyBromwich-1725.jpg""]",https://www.duotonesports.com/fr/products/duotone-juice-2026-44260-3007,"{""statut"": ""Nouveauté"", ""taille"": ""14.0m², 15.0m², 17.0m²"", ""condition"": ""Neuf"", ""reference"": ""44260-3007"", ""construction"": ""SLS"", ""discipline"": ""FREERIDE / LIGHTWIND / FOIL""}","La Juice offre des performances exceptionnelles dans des conditions de brise minimale. Sa construction légère et la forme optimisée de sa voilure garantissent une puissance régulière et d'excellentes performances en plage basse pour un départ au planing rapide. La Juice est le choix idéal pour les riders en quête de nouvelles aventures dans des conditions de vent léger. ()=>n(r.text)Conçue spécialement pour le vent léger, pour le Freeride en twintips, en surfboard et en foil, la Juice excelle dans les conditions de vent les plus légères, vous permettant de profiter de vos sessions même lorsque la brise est faible. Vous en avez assez de vous sentir limité par les vents légers ? La Juice transformera votre expérience, en vous offrant une puissance douce et d'excellentes performances en plage basse qui vous permettront de planer rapidement. Avec sa construction légère, vous sentirez la glisse et la maniabilité sans effort lorsque vous exploiterez l'énergie du vent. Cette machine à vent léger est dotée d'un shape optimisé qui garantit une puissance douce mais efficace. Vous pouvez également gérer avec facilité les sauts et les figures grâce à son feedback direct, vous donnant un contrôle total pendant vos sessions. La Juice dispose également d'un profil de l'extrémité de l'aile amélioré qui facilite le redécollage, ce qui vous permet de vous aventurer sur l'eau même dans les brises les plus légères. Avec un tout nouveau design, la Juice possède un sweep plus important pour une meilleure relance sur l'eau et des performances exceptionnelles au près. Sa construction légère à batten pocket contribue non seulement à la performance globale de l'aile mais améliore également votre capacité à naviguer dans des conditions de vent minimales. La Juice offre des performances exceptionnelles dans des conditions de light wind ultime. Sa construction légère et la forme optimisée de sa voilure garantissent une puissance régulière et d'excellentes performances en plage basse pour un départ au planing rapide. La Juice offre une remarquable capacité de remontée au vent, ce qui en fait le choix idéal pour les riders à la recherche de nouvelles aventures dans des conditions de vent léger. La Juice offre des performances exceptionnelles dans des conditions de brise minimale. Sa construction légère et la forme optimisée de sa voilure garantissent une puissance régulière et d'excellentes performances en plage basse pour un départ au planing rapide. La Juice est le choix idéal pour les riders en quête de nouvelles aventures dans des conditions de vent léger. ()=>n(r.text)Conçue spécialement pour le vent léger, pour le Freeride en twintips, en surfboard et en foil, la Juice excelle dans les conditions de vent les plus légères, vous permettant de profiter de vos sessions même lorsque la brise est faible. Vous en avez assez de vous sentir limité par les vents légers ? La Juice transformera votre expérience, en vous offrant une puissance douce et d'excellentes performances en"
